league,year,deaths,assists,kills,damagetochampions,wardsplaced,wardskilled,controlwardsbought,totalgold,total cs
LCK,2018,18.060851926977687,45.24340770791075,18.040567951318458,129520.37119675457,311.19066937119675,136.22515212981745,100.40365111561866,131234.50304259636,2636.839756592292
LCK,2019,21.363636363636363,49.87070707070707,21.3010101010101,114230.15757575758,271.24848484848485,123.26262626262626,101.96565656565656,121869.5797979798,2316.511111111111
LCK,2020,22.965931863727455,53.813627254509015,22.91382765531062,119647.38076152305,246.5691382765531,118.63326653306613,97.98597194388778,114510.26853707415,2157.7374749499
LCK,2021,24.132924335378323,55.38036809815951,24.079754601226995,126505.67280163598,254.62576687116564,125.06543967280163,101.84458077709611,118727.95705521472,2248.842535787321
LCK,2022,23.134903640256958,54.357601713062095,23.09850107066381,129129.44111349036,242.57173447537474,120.04710920770879,101.11991434689507,119612.79871520343,2206.8736616702354
LCS,2018,25.5,59.25,25.375,140486.5,211.875,76.25,88.625,117324.75,2242.5
LCS,2019,22.281632653061223,53.06530612244898,22.248979591836736,125546.07755102041,237.40816326530611,102.78775510204082,91.67755102040816,122308.17551020408,2253.3020408163266
LCS,2020,22.818181818181817,54.64393939393939,22.799242424242426,127292.51893939394,227.91287878787878,100.93181818181819,88.28030303030303,118772.17045454546,2201.5227272727275
LCS,2021,25.4,59.56811594202899,25.310144927536232,124294.99710144928,222.77971014492755,99.69855072463768,85.54782608695652,116857.42028985507,2158.742028985507
LCS,2022,24.00980392156863,56.754901960784316,23.964052287581698,130061.2091503268,213.26470588235293,99.11764705882354,80.72875816993464,117615.45751633987,2161.8888888888887
LEC,2018,20.785714285714285,52.785714285714285,20.785714285714285,129303.57142857143,256.35714285714283,104.07142857142857,100.57142857142857,122468.85714285714,2374.0714285714284
LEC,2019,25.95798319327731,55.890756302521005,25.915966386554622,117537.28151260504,222.78151260504202,91.65546218487395,84.15126050420169,117754.36974789915,2111.953781512605
LEC,2020,25.481327800829874,57.477178423236516,25.414937759336098,124840.39004149378,229.76348547717842,93.93775933609959,87.38589211618257,117655.26556016598,2141.0041493775934
LEC,2021,27.761133603238868,62.80161943319838,27.708502024291498,126671.95546558705,218.98785425101215,90.96761133603239,82.56275303643724,116588.04858299595,2116.076923076923
LEC,2022,26.54320987654321,62.23456790123457,26.48971193415638,138035.18106995884,219.36625514403292,100.1358024691358,81.61316872427983,119065.76954732511,2128.0699588477364
LLA,2019,23.235576923076923,52.72115384615385,23.197115384615383,121859.24519230769,234.96634615384616,97.53365384615384,90.01442307692308,121326.80288461539,2204.25
LLA,2020,21.845238095238095,50.63095238095238,21.797619047619047,124743.70833333333,244.67261904761904,111.46428571428571,98.49404761904762,121636.40476190476,2256.3511904761904
LLA,2021,27.60377358490566,63.943396226415096,27.58490566037736,133942.27044025157,230.8993710691824,102.86792452830188,92.78616352201257,118104.15094339622,2132.0251572327043
LLA,2022,27.307317073170733,63.96585365853659,27.24878048780488,132997.56585365854,216.33170731707318,99.1170731707317,88.37560975609756,116924.3512195122,2100.3560975609757
LPL,2018,23.55240793201133,57.41218130311615,23.522662889518415,127524.29603399434,257.5042492917847,108.87252124645893,84.86968838526913,122797.69830028329,2346.686968838527
LPL,2019,25.93643410852713,59.6015503875969,25.886821705426357,119507.18604651163,220.52093023255813,99.94108527131783,82.85426356589147,117232.85736434108,2100.758139534884
LPL,2020,26.351573187414502,62.83584131326949,26.314637482900135,123857.36525307798,219.72913816689467,103.76060191518468,84.47742818057455,113667.23255813954,2038.421340629275
LPL,2021,26.509562841530055,61.32786885245902,26.474043715846996,122860.36612021858,209.03961748633878,99.16666666666667,79.93715846994536,111739.65983606558,2054.5887978142077
LPL,2022,26.279898218829516,61.04452926208651,26.240458015267176,129236.22010178117,210.46819338422392,104.38040712468194,82.3498727735369,114339.59287531806,2053.6119592875316
